idno,polpartvt
921018,[NA] Not applicable
921026,[1] Socialdemokraterne - the Danish social democrats
921034,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921076,[NA] No answer
921084,[1] Socialdemokraterne - the Danish social democrats
921131,[8] Liberal Alliance - Liberal Alliance
921165,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921181,[2] Det Radikale Venstre - Danish Social-Liberal Party
921199,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921204,[NA] Don't know
921220,[4] SF Socialistisk Folkeparti - Socialist People's Party
921254,[2] Det Radikale Venstre - Danish Social-Liberal Party
921262,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921288,[1] Socialdemokraterne - the Danish social democrats
921296,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921319,[NA] Not applicable
921327,[9] Enhedslisten - Unity List - The Red-Green Alliance
921335,[10] Andet - other
921377,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921393,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921408,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921416,[5] Dansk Folkeparti - Danish peoples party
921424,[4] SF Socialistisk Folkeparti - Socialist People's Party
921432,[1] Socialdemokraterne - the Danish social democrats
921440,[NA] Don't know
921474,[9] Enhedslisten - Unity List - The Red-Green Alliance
921490,[4] SF Socialistisk Folkeparti - Socialist People's Party
921505,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921521,[4] SF Socialistisk Folkeparti - Socialist People's Party
921539,[2] Det Radikale Venstre - Danish Social-Liberal Party
921547,[NA] Not applicable
921563,[1] Socialdemokraterne - the Danish social democrats
921571,[5] Dansk Folkeparti - Danish peoples party
921589,[3] Det Konservative Folkeparti - Conservative
921610,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921628,[NA] Refusal
921636,[NA] Not applicable
921652,[2] Det Radikale Venstre - Danish Social-Liberal Party
921660,[9] Enhedslisten - Unity List - The Red-Green Alliance
921678,[1] Socialdemokraterne - the Danish social democrats
921733,[NA] Refusal
921814,[2] Det Radikale Venstre - Danish Social-Liberal Party
921856,[5] Dansk Folkeparti - Danish peoples party
921864,[NA] Not applicable
921872,[NA] Don't know
921880,[1] Socialdemokraterne - the Danish social democrats
921898,[2] Det Radikale Venstre - Danish Social-Liberal Party
921903,[5] Dansk Folkeparti - Danish peoples party
921911,[2] Det Radikale Venstre - Danish Social-Liberal Party
921937,[NA] Not applicable
921945,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921953,"[7] Venstre, Danmarks Liberale Parti - Venstre"
921987,[NA] Not applicable
922006,[NA] Refusal
922014,[NA] Don't know
922048,[1] Socialdemokraterne - the Danish social democrats
922056,[NA] Don't know
922072,[NA] Refusal
922080,[NA] Not applicable
922098,[5] Dansk Folkeparti - Danish peoples party
922103,[4] SF Socialistisk Folkeparti - Socialist People's Party
922111,[5] Dansk Folkeparti - Danish peoples party
922129,[NA] Not applicable
922200,[4] SF Socialistisk Folkeparti - Socialist People's Party
922226,"[7] Venstre, Danmarks Liberale Parti - Venstre"
922250,[NA] Not applicable
922268,"[7] Venstre, Danmarks Liberale Parti - Venstre"
922276,"[7] Venstre, Danmarks Liberale Parti - Venstre"
922284,[1] Socialdemokraterne - the Danish social democrats
922292,[1] Socialdemokraterne - the Danish social democrats
922315,[NA] Refusal
922323,[NA] Not applicable
922381,"[7] Venstre, Danmarks Liberale Parti - Venstre"
922399,"[7] Venstre, Danmarks Liberale Parti - Venstre"
922404,[NA] Not applicable
922412,[4] SF Socialistisk Folkeparti - Socialist People's Party
922420,[1] Socialdemokraterne - the Danish social democrats
922454,[5] Dansk Folkeparti - Danish peoples party
922462,[1] Socialdemokraterne - the Danish social democrats
922470,[1] Socialdemokraterne - the Danish social democrats
922501,[2] Det Radikale Venstre - Danish Social-Liberal Party
922519,[1] Socialdemokraterne - the Danish social democrats
922535,[5] Dansk Folkeparti - Danish peoples party
922543,[1] Socialdemokraterne - the Danish social democrats
922569,[4] SF Socialistisk Folkeparti - Socialist People's Party
922577,[1] Socialdemokraterne - the Danish social democrats
922593,[3] Det Konservative Folkeparti - Conservative
922608,[5] Dansk Folkeparti - Danish peoples party
922616,[3] Det Konservative Folkeparti - Conservative
922624,[NA] Not applicable
922640,[1] Socialdemokraterne - the Danish social democrats
922658,[5] Dansk Folkeparti - Danish peoples party
922690,[1] Socialdemokraterne - the Danish social democrats
922713,[NA] Not applicable
922721,[1] Socialdemokraterne - the Danish social democrats
922739,[2] Det Radikale Venstre - Danish Social-Liberal Party
922763,[NA] Not applicable
922771,[NA] Not applicable
922789,[1] Socialdemokraterne - the Danish social democrats
922802,[8] Liberal Alliance - Liberal Alliance
922852,[5] Dansk Folkeparti - Danish peoples party
922860,"[7] Venstre, Danmarks Liberale Parti - Venstre"
922886,[1] Socialdemokraterne - the Danish social democrats
922894,"[7] Venstre, Danmarks Liberale Parti - Venstre"
922925,[1] Socialdemokraterne - the Danish social democrats
922933,[1] Socialdemokraterne - the Danish social democrats
922941,[NA] Not applicable
922959,[NA] Not applicable
922967,[8] Liberal Alliance - Liberal Alliance
922975,[2] Det Radikale Venstre - Danish Social-Liberal Party
922983,[NA] Refusal
922991,[2] Det Radikale Venstre - Danish Social-Liberal Party
923052,[1] Socialdemokraterne - the Danish social democrats
923060,"[7] Venstre, Danmarks Liberale Parti - Venstre"
923094,[1] Socialdemokraterne - the Danish social democrats
923109,[NA] Not applicable
923125,[5] Dansk Folkeparti - Danish peoples party
923133,[9] Enhedslisten - Unity List - The Red-Green Alliance
923141,"[7] Venstre, Danmarks Liberale Parti - Venstre"
923159,[9] Enhedslisten - Unity List - The Red-Green Alliance
923167,[1] Socialdemokraterne - the Danish social democrats
923183,"[7] Venstre, Danmarks Liberale Parti - Venstre"
