idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
921490,4,Extremely happy,Very good,,Never,167.0,62.0,Female,1965.0
938348,Most people can be trusted,7,Good,,Several times a week,168.0,70.0,Female,1973.0
939019,5,,Good,3.0,Once a week,182.0,90.0,Male,1980.0
924985,8,9,Very good,,Once a week,,85.0,Male,1946.0
925410,4,,Bad,,Several times a week,156.0,60.0,Female,1969.0
928947,5,Extremely happy,Good,20.0,Every day,167.0,75.0,Male,1950.0
947921,7,8,Good,,Less than once a month,169.0,63.0,Female,1980.0
926953,,8,Good,,Once a month,184.0,73.0,Male,1940.0
943553,8,8,,,,182.0,86.0,Male,1971.0
936299,8,9,Very good,8.0,Several times a week,172.0,73.0,Female,1965.0
943317,9,9,Very good,,Once a month,178.0,72.0,Male,1989.0
926725,5,Extremely happy,Fair,,Once a week,168.0,70.0,Male,1971.0
940149,5,5,Fair,,Every day,173.0,73.0,Male,1956.0
922276,,Extremely happy,Bad,,Several times a week,171.0,50.0,Male,1952.0
947086,8,7,Very good,,Once a week,186.0,84.0,Male,1964.0
945903,2,2,Fair,,Less than once a month,158.0,65.0,Female,1967.0
923719,7,9,Good,,Once a week,178.0,85.0,Male,1975.0
949363,8,9,Very good,5.0,Once a week,165.0,63.0,Female,1952.0
921288,8,8,Very good,,Several times a week,191.0,95.0,Male,1949.0
937431,7,9,Very good,,Once a week,183.0,88.0,Male,1955.0
940644,7,8,Good,,Never,164.0,60.0,Female,1964.0
943927,9,Extremely happy,Good,,Several times a week,176.0,,Female,1950.0
933990,9,9,,,Less than once a month,155.0,77.5,Female,1942.0
922640,8,9,Very good,,Once a week,172.0,68.0,Female,1946.0
932774,8,7,Good,,Several times a week,155.0,77.0,Female,1960.0
929391,8,9,Fair,,Several times a week,163.0,97.0,Female,1951.0
946381,6,,Very good,,2-3 times a month,167.0,57.0,Female,1998.0
922111,8,9,Very good,,Every day,169.0,60.0,Female,1944.0
940660,5,9,Fair,,2-3 times a month,167.0,85.0,Female,1951.0
925240,8,9,Very good,,2-3 times a month,184.0,110.0,Male,1939.0
928175,5,Extremely happy,Fair,,Several times a week,162.0,52.0,Female,1955.0
929684,8,8,Good,17.0,Every day,185.0,72.0,Male,1931.0
940628,3,6,Very bad,20.0,Once a week,174.0,98.0,Male,
923426,8,8,Good,20.0,Once a week,184.0,84.0,Male,1991.0
925397,8,9,Good,,Several times a week,188.0,99.0,Male,1964.0
