idno,ppltrst,happy,health,cgtsday,alcfreq
921490,4,Extremely happy,Very good,,Never
938348,Most people can be trusted,7,Good,,Several times a week
939019,5,,Good,3,Once a week
924985,8,9,Very good,,Once a week
925410,4,,Bad,,Several times a week
928947,5,Extremely happy,Good,20,Every day
947921,7,8,Good,,Less than once a month
926953,,8,Good,,Once a month
943553,8,8,,,
936299,8,9,Very good,8,Several times a week
943317,9,9,Very good,,Once a month
926725,5,Extremely happy,Fair,,Once a week
940149,5,5,Fair,,Every day
922276,,Extremely happy,Bad,,Several times a week
947086,8,7,Very good,,Once a week
945903,2,2,Fair,,Less than once a month
923719,7,9,Good,,Once a week
949363,8,9,Very good,5,Once a week
921288,8,8,Very good,,Several times a week
937431,7,9,Very good,,Once a week
940644,7,8,Good,,Never
943927,9,Extremely happy,Good,,Several times a week
933990,9,9,,,Less than once a month
922640,8,9,Very good,,Once a week
932774,8,7,Good,,Several times a week
929391,8,9,Fair,,Several times a week
946381,6,,Very good,,2-3 times a month
922111,8,9,Very good,,Every day
940660,5,9,Fair,,2-3 times a month
925240,8,9,Very good,,2-3 times a month
928175,5,Extremely happy,Fair,,Several times a week
929684,8,8,Good,17,Every day
940628,3,6,Very bad,20,Once a week
923426,8,8,Good,20,Once a week
925397,8,9,Good,,Several times a week
931443,5,Extremely happy,Good,,Several times a week
935934,7,5,,2,Several times a week
926246,5,5,Fair,,Never
921335,8,9,Good,,Several times a week
924252,Most people can be trusted,9,Very good,,Once a month
938071,7,Extremely happy,Good,,Once a week
929309,9,9,Fair,,Every day
925541,8,8,Good,,Less than once a month
935251,6,7,Good,,Once a week
934302,8,7,Good,,Less than once a month
928955,9,Extremely happy,Very good,,Once a month
943286,4,7,Good,,Less than once a month
946886,4,6,Good,,Once a month
942866,Most people can be trusted,Extremely happy,Very good,,Once a month
937952,8,8,Fair,,Less than once a month
950095,8,9,Good,,Every day
936590,7,9,Very good,25,Every day
945521,9,Extremely happy,Good,,Several times a week
941331,9,2,Fair,,2-3 times a month
924595,8,9,Good,,Several times a week
931948,7,8,Very good,,Several times a week
945822,8,8,Good,,Never
947816,5,7,Fair,,
938916,7,8,Very good,,Several times a week
940539,7,9,Good,,Every day
948244,7,5,Very good,,Once a week
934491,9,8,Very good,,Several times a week
922624,5,8,Fair,,Every day
926872,8,Extremely happy,Good,,Once a week
943309,8,9,Good,,Every day
946404,8,8,Good,,2-3 times a month
944591,8,,Fair,,2-3 times a month
940440,7,Extremely happy,Good,1,2-3 times a month
924561,8,Extremely happy,Very good,,Less than once a month
933110,3,9,Good,20,2-3 times a month
939506,7,,Fair,20,Never
937415,8,9,Very good,,Once a week
928565,4,Extremely happy,Very good,,2-3 times a month
928167,8,7,Fair,,2-3 times a month
943448,7,9,Good,,Once a week
932538,7,9,Very good,,Once a week
923785,9,8,Very good,,2-3 times a month
942337,8,7,Good,8,Several times a week
923214,9,9,Very good,,Once a month
946666,7,9,Good,6,Less than once a month
926115,9,9,Very good,,2-3 times a month
923866,7,9,Good,,Once a week
941323,7,8,Good,,Several times a week
938958,9,9,Very good,,Once a week
930049,7,9,Good,,Once a month
924105,8,8,Good,15,Less than once a month
942727,5,5,Fair,,Once a week
941894,7,9,Very good,,2-3 times a month
950184,8,8,,20,2-3 times a month
934069,8,8,Good,,Several times a week
944258,9,9,Very good,2,Every day
946721,7,9,Very good,,Once a week
943121,8,7,Fair,,2-3 times a month
924074,,9,Very good,,Several times a week
926759,4,7,Bad,,Never
925305,9,9,Good,,Several times a week
936558,8,3,Bad,40,Every day
938534,6,Extremely happy,Very good,,Less than once a month
939611,9,Extremely happy,Very good,,Several times a week
943618,7,9,Good,,Every day
929189,8,Extremely happy,Very good,,Less than once a month
936956,7,8,Fair,,Once a month
940424,9,9,Fair,,Once a week
921856,7,8,,,2-3 times a month
947400,7,9,Very good,,2-3 times a month
921408,7,,,1,Several times a week
935976,7,8,Good,0,Never
933322,8,7,Good,,Less than once a month
926822,8,Extremely happy,Very good,,Several times a week
934247,9,Extremely happy,Bad,20,Never
941501,6,Extremely happy,Good,10,Several times a week
937106,7,8,Fair,17,Less than once a month
942256,3,8,Very good,4,Never
943210,6,8,Good,,Several times a week
937758,7,8,Very good,,Several times a week
921432,,Extremely happy,Very good,6,Once a week
926814,4,1,Bad,,Once a week
939132,9,9,Good,,Several times a week
933039,8,8,Very good,,Once a month
931396,5,8,Good,,Several times a week
940416,7,9,Very good,6,2-3 times a month
921181,9,9,Fair,,Once a week
926050,7,9,Very good,10,2-3 times a month
931192,9,Extremely happy,Very good,,
923793,8,Extremely happy,Very good,,Once a week
928604,8,,Very good,2,Once a month
949208,7,9,Fair,,Less than once a month
945319,8,7,Good,5,Several times a week
922323,6,8,Fair,,Once a week
923256,7,9,Fair,,2-3 times a month
948757,7,8,Very good,,Once a week
939784,9,9,Very good,,Once a week
930196,7,7,Good,,2-3 times a month
946925,8,8,,,Once a week
943333,8,9,Fair,,Less than once a month
938495,8,8,Good,,Several times a week
936621,8,9,Very good,15,Several times a week
921474,3,6,Fair,8,Less than once a month
930439,7,8,Very good,1,Once a week
927098,9,8,Very good,,Several times a week
926408,7,8,Very good,,Once a week
937677,8,Extremely happy,Good,,Every day
937928,8,9,Good,,Once a week
936003,3,9,Very good,,Once a week
928311,9,6,Good,,Less than once a month
937619,7,8,Good,,Several times a week
949606,4,Extremely happy,Very good,,Less than once a month
947450,9,8,Very good,,2-3 times a month
938136,3,9,Very good,,Less than once a month
930227,,8,Very good,0,2-3 times a month
923832,8,8,Very good,10,
924498,5,7,Very good,10,Several times a week
933233,8,9,Good,,Once a week
926979,7,9,Very good,,Once a week
928256,6,8,Very good,,Once a week
940733,8,8,Good,,Once a month
923890,9,Extremely happy,Very good,,Once a week
923769,5,8,Good,,Several times a week
924600,9,6,Fair,,Several times a week
945806,Most people can be trusted,9,Very good,,Several times a week
950249,8,7,Good,7,Several times a week
938372,8,8,Very good,8,Once a week
935138,3,8,Fair,,Several times a week
930057,,Extremely happy,Very good,,
944444,Most people can be trusted,Extremely happy,Very good,,Less than once a month
947078,,9,Fair,,Several times a week
942890,8,Extremely happy,Very good,,2-3 times a month
941103,2,1,Bad,10,Never
927836,8,9,Very good,,Several times a week
941014,5,,Very good,,2-3 times a month
932512,8,7,Very good,,2-3 times a month
927048,7,Extremely happy,Fair,,Less than once a month
943626,5,7,Very good,,Once a week
937180,8,8,Good,,Several times a week
934904,9,Extremely happy,Very good,,Every day
947159,6,7,Very good,,Less than once a month
944101,4,Extremely happy,Very good,,2-3 times a month
930942,8,Extremely happy,Fair,,Several times a week
942361,8,8,Good,,Less than once a month
928133,7,6,Bad,,Less than once a month
949012,8,Extremely happy,Good,,Several times a week
930285,4,6,Fair,,Several times a week
934360,2,5,Very good,,Less than once a month
922608,5,9,Very good,,Every day
937805,7,,Good,15,Several times a week
950508,7,8,Very good,,Once a week
