,idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
0,921018,6,9,Very good,10.0,2-3 times a month,178.0,64.0,Male,1990
1,921026,8,8,Very good,,Several times a week,172.0,64.0,Female,1948
4,921084,5,8,Very good,,Every day,175.0,80.0,Male,1936
6,921165,8,Extremely happy,Good,,Once a week,167.0,78.0,Female,1965
10,921220,8,8,Fair,,Every day,178.0,80.0,Male,1949
12,921262,8,8,Very good,,2-3 times a month,180.0,93.0,Male,1987
14,921296,5,9,Good,,Once a week,202.0,108.0,Male,1988
18,921377,7,9,Good,,2-3 times a month,169.0,68.0,Male,1948
19,921393,7,8,Very good,,Less than once a month,184.0,67.0,Male,1985
21,921416,8,Extremely happy,Very good,40.0,Several times a week,186.0,83.0,Male,1953
27,921505,8,8,Good,,2-3 times a month,185.0,83.0,Male,1968
30,921547,5,8,Good,,Once a month,164.0,68.0,Female,1999
32,921571,8,9,Fair,5.0,Less than once a month,163.0,92.0,Female,1978
33,921589,8,9,Very bad,,Never,142.0,50.0,Female,1931
34,921610,6,9,Good,,Less than once a month,170.0,60.0,Female,1978
35,921628,7,8,Fair,,2-3 times a month,162.0,78.0,Female,1941
36,921636,9,8,Very good,,2-3 times a month,185.0,68.0,Male,1996
37,921652,7,7,Very good,,Once a week,172.0,65.0,Female,1987
38,921660,8,6,Very good,,2-3 times a month,173.0,76.0,Male,1941
40,921733,5,3,Fair,,Several times a week,182.0,95.0,Male,1960
43,921864,8,7,Bad,20.0,Several times a week,169.0,66.0,Male,1994
44,921872,4,5,Very bad,15.0,Never,165.0,69.0,Female,1983
47,921903,8,Extremely happy,Very good,3.0,2-3 times a month,170.0,76.0,Male,1967
48,921911,5,1,Bad,20.0,Every day,175.0,98.0,Male,1969
49,921937,4,4,Very good,10.0,Several times a week,180.0,64.0,Male,1994
50,921945,6,7,Very good,,Once a week,183.0,106.0,Male,1976
51,921953,8,9,Fair,,Every day,172.0,82.0,Female,1935
52,921987,7,7,Very good,,Once a week,179.0,74.0,Male,1964
56,922056,6,8,Good,,Every day,153.0,58.0,Female,1973
57,922072,7,9,Very good,,Once a month,162.0,69.0,Female,1988
58,922080,5,6,Fair,20.0,Several times a week,184.0,87.0,Male,1975
62,922129,4,8,Good,,Several times a week,185.0,70.0,Male,1998
63,922200,8,8,Good,,Once a month,188.0,105.0,Male,1975
64,922226,5,8,Good,,Several times a week,173.0,80.0,Male,1941
65,922250,8,8,Fair,,Several times a week,178.0,72.0,Female,1937
73,922399,8,9,Good,,Less than once a month,176.0,73.0,Male,1959
75,922412,8,9,Good,,2-3 times a month,172.0,67.0,Female,1962
77,922454,8,8,Good,,Less than once a month,170.0,68.0,Female,1991
79,922470,9,8,Fair,,Once a week,153.0,62.0,Female,1936
80,922501,9,8,Very good,,Several times a week,165.0,64.0,Female,1970
81,922519,8,8,Good,,Several times a week,178.0,78.0,Male,1953
84,922569,3,3,Fair,,Once a month,165.0,58.0,Female,1980
85,922577,6,9,Fair,,2-3 times a month,168.0,79.0,Male,1943
86,922593,Most people can be trusted,8,Fair,15.0,Every day,163.0,50.0,Female,1968
91,922658,5,Extremely happy,Good,,2-3 times a month,183.0,91.0,Male,1985
92,922690,4,9,Good,5.0,Less than once a month,170.0,47.0,Female,1993
93,922713,7,8,Good,,Several times a week,166.0,68.0,Female,1947
94,922721,7,9,Good,,2-3 times a month,182.0,87.0,Male,1965
95,922739,8,9,Very good,15.0,Several times a week,192.0,88.0,Male,1968
96,922763,5,7,Good,,Once a week,187.0,110.0,Male,1967
98,922789,7,8,Very good,,Once a month,178.0,102.0,Male,1949
100,922852,2,8,Fair,,2-3 times a month,188.0,92.0,Male,1986
101,922860,8,8,Very good,,2-3 times a month,159.0,64.0,Female,1993
102,922886,6,5,Very good,,Never,160.0,74.0,Female,1932
103,922894,8,Extremely happy,Very good,,Several times a week,168.0,60.0,Female,1964
106,922941,7,2,Bad,,Less than once a month,185.0,99.0,Male,1991
109,922975,8,8,Very good,,Every day,178.0,63.0,Male,1967
110,922983,6,7,Good,15.0,Once a week,160.0,54.0,Female,1947
111,922991,8,9,Good,,2-3 times a month,166.0,60.0,Female,1934
112,923052,8,Extremely happy,Good,,2-3 times a month,157.0,62.0,Female,1931
115,923109,8,9,Good,,Less than once a month,158.0,101.0,Female,1946
117,923133,9,8,Fair,3.0,Once a week,172.0,65.0,Female,1958
118,923141,7,9,Very good,,Several times a week,186.0,75.0,Female,1970
119,923159,8,2,Fair,15.0,Several times a week,164.0,51.4,Female,1946
125,923264,6,Extremely happy,Good,,Several times a week,173.0,89.0,Male,1943
126,923272,8,8,Very good,20.0,Once a week,190.0,81.0,Male,1992
127,923280,9,9,Good,20.0,Once a week,182.0,105.0,Male,1983
130,923361,7,9,Good,,Never,176.0,95.0,Male,1984
131,923379,8,8,Good,,2-3 times a month,166.0,60.0,Female,1967
133,923400,8,Extremely happy,Very good,,Several times a week,180.0,70.0,Male,1946
138,923492,5,9,Good,,Once a week,166.0,60.0,Female,1953
139,923523,5,9,Good,,Every day,172.0,59.0,Female,1945
140,923531,9,Extremely happy,Very good,,Several times a week,167.0,67.0,Female,1956
141,923557,9,9,Very good,,Once a week,182.0,76.0,Male,1984
142,923573,7,9,Very good,,2-3 times a month,155.0,61.0,Female,1987
143,923604,5,8,Good,5.0,Less than once a month,189.0,78.0,Male,1989
145,923620,8,Extremely happy,Good,,Several times a week,180.0,93.0,Male,1984
146,923646,You can't be too careful,Extremely happy,Very good,8.0,Less than once a month,,,Female,1948
147,923662,6,8,Very good,,2-3 times a month,163.0,62.0,Female,1976
148,923670,6,9,Good,,Once a month,176.0,72.0,Male,1979
149,923688,5,7,Fair,10.0,2-3 times a month,164.0,63.0,Female,1990
150,923701,5,9,Bad,,Once a week,173.0,59.0,Female,1980
158,923808,9,5,Very good,20.0,Every day,172.0,76.0,Male,1955
162,923858,9,9,Good,,2-3 times a month,180.0,70.0,Male,1977
164,923882,8,9,Very good,4.0,Every day,179.0,87.0,Male,1935
166,923905,6,8,Good,12.0,Once a week,196.0,135.0,Male,1995
167,923913,7,9,Very good,,Every day,170.0,70.0,Male,1943
168,923939,9,Extremely happy,Good,,Several times a week,177.0,107.0,Male,1951
170,923989,9,7,Good,,2-3 times a month,180.0,70.0,Female,1959
172,924024,7,8,Good,,Less than once a month,169.0,66.0,Female,1986
173,924032,7,Extremely happy,Fair,,Every day,174.0,72.0,Male,1926
174,924040,8,9,Fair,,Every day,172.0,92.0,Male,1942
175,924058,9,,Good,10.0,Once a month,164.0,68.0,Female,1949
176,924066,5,6,Fair,,Every day,175.0,68.0,Male,1927
180,924113,8,8,Very good,,Several times a week,197.0,82.0,Male,1997
181,924121,5,7,Very good,10.0,Never,188.0,85.0,Male,1990
184,924163,5,5,Good,,Once a week,169.0,63.0,Male,1971
186,924202,9,,Very bad,,Several times a week,170.0,74.0,Female,1970
192,924359,8,Extremely happy,Good,,Once a week,165.0,72.0,Male,1937
194,924375,7,Extremely happy,Very good,,Once a month,178.0,76.0,Female,1976
195,924383,3,8,Bad,,Never,175.0,94.0,Male,1946
196,924406,8,8,Good,,Never,168.0,65.0,Female,1934
198,924464,7,9,Good,,Once a month,174.0,74.0,Female,1991
199,924472,8,8,Very good,,Less than once a month,168.0,72.0,Female,1989
200,924480,8,Extremely happy,Very good,,Less than once a month,166.0,65.0,Female,1957
202,924503,7,8,Good,,Every day,181.0,81.5,Male,1932
203,924511,8,9,Fair,20.0,Less than once a month,157.0,59.0,Male,1957
204,924529,8,9,Good,,Several times a week,163.0,75.0,Female,1957
205,924545,5,Extremely happy,Good,4.0,Never,172.0,75.0,Male,1979
211,924626,8,8,Very good,25.0,Once a month,168.0,85.0,Male,1942
212,924676,3,8,Very good,,Once a week,180.0,83.0,Male,1955
213,924692,7,5,Good,,Once a week,163.0,58.0,Female,1980
214,924715,9,9,Good,3.0,Once a week,167.0,95.0,Female,1985
215,924731,5,8,Bad,,Never,178.0,86.0,Male,1951
216,924781,9,Extremely happy,Very good,,Several times a week,178.0,75.0,Male,1973
217,924812,You can't be too careful,9,Very good,,Once a week,173.0,65.0,Female,1984
220,924862,7,8,Very good,,Once a month,178.0,82.0,Male,1980
221,924901,Most people can be trusted,Extremely happy,Very good,,Several times a week,164.0,70.0,Female,1957
223,924951,7,8,Very good,,Once a week,162.0,59.0,Female,1980
