idno,height,weight,gndr,yrbrn
921490,167,62,Female,1965
938348,168,70,Female,1973
939019,182,90,Male,1980
924985,,85,Male,1946
925410,156,60,Female,1969
928947,167,75,Male,1950
947921,169,63,Female,1980
926953,184,73,Male,1940
943553,182,86,Male,1971
936299,172,73,Female,1965
943317,178,72,Male,1989
926725,168,70,Male,1971
940149,173,73,Male,1956
922276,171,50,Male,1952
947086,186,84,Male,1964
945903,158,65,Female,1967
923719,178,85,Male,1975
949363,165,63,Female,1952
921288,191,95,Male,1949
937431,183,88,Male,1955
940644,164,60,Female,1964
943927,176,,Female,1950
933990,155,77.5,Female,1942
922640,172,68,Female,1946
932774,155,77,Female,1960
929391,163,97,Female,1951
946381,167,57,Female,1998
922111,169,60,Female,1944
940660,167,85,Female,1951
925240,184,110,Male,1939
928175,162,52,Female,1955
929684,185,72,Male,1931
940628,174,98,Male,
923426,184,84,Male,1991
925397,188,99,Male,1964
931443,185,66,Male,1990
935934,188,,Male,1994
926246,150,53,Female,1969
921335,178,84,Male,1945
924252,169,56,Female,1995
938071,173,85,Female,1962
929309,167,76,Female,1950
925541,180,114,Male,1980
935251,190,93,Male,
934302,180,85,Female,1977
928955,176,66,Male,1944
943286,159,63,Female,1987
946886,188,95,Male,1993
942866,180,57,Female,1967
937952,165,111,Female,
950095,180,85,Male,1947
936590,179,85,Male,1954
945521,180,73,Male,1949
941331,172,68,Female,1984
924595,165,80,Female,1955
931948,176,72,,1949
945822,170,70,Male,1939
947816,175,71,Female,1948
938916,183,104,Male,1956
940539,177,80,Male,1933
948244,167,59,Female,1998
934491,160,60,,1967
922624,163,54,Female,1954
926872,155,58,Female,1973
943309,183,92,Male,1942
946404,190,,Male,1959
944591,168,70,Female,1956
940440,194,112,Male,1996
924561,172,57,Female,1980
933110,193,94,Male,1988
939506,180,110,Male,1986
937415,194,,Male,1995
928565,178,88,Male,1982
928167,183,120,Male,1956
943448,187,79,Male,1994
932538,175,69,Female,1949
923785,155,60,Female,1960
942337,178,82,Female,1959
923214,180,63,Male,1998
946666,160,65,Female,1982
926115,170,58,Female,1961
923866,192,93,Male,1992
941323,,67,Male,1945
938958,182,71,Male,1987
930049,175,64,Female,1997
924105,,63,Female,1962
942727,190,124,Male,1969
941894,183,90,Male,1977
950184,167,109,,1960
934069,157,92,Female,1987
944258,170,73,Male,1940
946721,165,61,Female,1985
943121,163,78,Female,1946
924074,189,66,Male,1970
926759,168,,Female,1953
925305,180,86,Male,1947
936558,180,63,Male,1977
938534,190,67,Male,1998
939611,170,71,Male,1945
943618,184,72,Male,1959
929189,178,86,Male,1963
936956,179,90,Male,1941
940424,170,102,Female,1936
921856,158,79,,1969
947400,174,65,Male,1997
921408,203,104,Male,1977
935976,165,67,Female,1926
933322,180,74,Male,1965
926822,175,69,Male,1937
934247,162,90,Female,1954
941501,176,64,Male,1937
937106,168,68,Male,
942256,163,62,Female,1946
943210,173,90,Male,1974
937758,174,73,Male,1961
921432,180,90,Male,1989
926814,162,80,Female,1977
939132,170,64,Female,1960
933039,172,72,Male,1965
931396,167,50,Female,1930
940416,195,93,Male,1994
921181,194,102,Male,1956
926050,166,58,Female,1974
931192,,64,Female,1953
923793,179,80,Male,1950
928604,151,,Female,1940
949208,178,73,Male,1994
945319,160,49,,1991
922323,155,47,Female,1940
923256,176,,Female,1958
948757,188,80,Male,1965
939784,167,,Female,1956
930196,175,56,Male,1941
946925,165,73,,1955
943333,164,70,Female,1987
938495,178,99,Male,1945
936621,163,70,Female,
921474,,70,Female,1980
930439,182,75,Male,1980
927098,165,55,Female,1954
926408,172,76,Male,1945
937677,175,67,,1925
937928,158,59,Female,
936003,175,95,Male,1947
928311,194,94,Male,1973
937619,158,58,Female,1956
949606,170,130,Female,1993
947450,160,57,Female,1981
938136,176,80,Female,1985
930227,170,73,Female,1973
923832,173,60,Male,1994
924498,175,66,Male,1966
933233,182,70,Male,1994
926979,183,84,Male,1992
928256,173,75,Male,1974
940733,185,89,Male,1976
923890,173,60,Female,1996
923769,170,66,Male,1951
924600,188,91,Male,1955
945806,181,79,Male,1964
950249,190,89,,1956
938372,170,55,Female,1953
935138,176,80,Male,1956
930057,173,58,Female,1968
944444,176,91,Male,1983
947078,166,58,Female,1964
942890,192,74,Male,1995
941103,164,58,Female,1930
927836,172,63,Male,1967
941014,182,83,Male,1961
932512,172,75,Female,1958
927048,160,75,Female,1985
943626,179,65,Male,1988
937180,170,82,Female,1971
934904,165,77,Male,1923
947159,171,67,Male,1994
944101,166,72,Female,1965
930942,163,55,Female,1950
942361,180,115,Female,1974
928133,183,82,Male,1993
949012,186,93,Male,1939
930285,177,76,Male,1977
934360,160,75,Female,1930
922608,182,80,Male,
937805,167,70,Female,1959
950508,173,75,Male,1966
949258,172,76,Male,1943
944208,180,80,Male,1984
929472,163,53,Female,
949999,200,88,Male,1994
924943,185,82,Male,1998
934093,162,60,Female,1996
931964,165,60,Female,1984
937538,173,59,Female,1995
927250,169,65,Female,1977
932059,160,61,Female,1983
932033,157,78,Female,1968
939661,168,57,Female,1962
931744,172,57,Female,1953
924155,180,70,Male,1935
935950,162,74,Female,1949
938453,180,97,Male,1943
940343,180,87,Male,
922098,186,69,Male,1947
932520,160,72,Female,1957
947646,173,69,Female,1973
929367,170,74,Female,1962
927739,180,89,Male,1976
923971,166,82,Female,1929
925224,173,58,Female,1967
936906,178,77,Male,1953
943595,162,54,Female,1984
921319,185,82,Male,1997
929600,174,,Male,1943
929480,169,66,Female,1958
935316,172,63,Male,1978
944698,175,80,Male,1999
944787,182,80,Male,1979
950427,192,117,Male,1964
931833,184,70,Female,1993
934289,178,61,Female,1948
931841,187,85,Male,1992
931906,179,62,Male,1938
929707,180,96,Male,1947
931647,170,70,Female,1987
933649,164,57,Female,1945
936427,164,61,Female,1948
938607,190,85,Male,1990
933209,182,75,Male,1992
924430,178,69,Male,1957
928662,176,68,Female,1973
944428,178,75,Male,1964
939920,168,60,Female,1988
934548,168,88.199997,Female,1971
936922,166,61,Female,1949
924367,178,85,Male,1943
936760,168,57,Female,1989
938013,168,70,Female,1968
939239,167,61,Female,1963
949591,180,94,Male,1971
933835,176,85,Male,1973
946917,185,97,Male,1983
926848,178,,Male,1996
931419,175,72,Male,1951
923353,178,100.9,Male,1963
924618,180,81,,1977
950061,183,70,Male,1995
942280,189,85,Male,1950
921880,180,80,Female,1963
938160,178,125,Male,1960
927307,161,63,Female,1995
923727,160,54,Female,1940
945026,167,61,Female,1955
921204,157,48,,1941
941917,,73,Female,1961
940686,,65,Female,1987
922462,160,60,Female,1968
930382,175,90,Female,1983
932677,185,80,Male,1953
933657,173,108,Female,1969
931011,184,78,Male,1978
922925,186,66,Male,1986
936396,168,78,Female,1963
948529,181,78,Female,1972
928670,183,81,Male,1964
921076,,70,Female,1958
939946,190,78,Male,1996
924278,167,,Female,1934
926775,189,75,Male,1989
948286,157,55,Female,1993
938615,160,63,Female,1991
925826,171,64,Female,1989
938657,162,65,Female,1983
947303,173,59,Female,1999
947523,170,72,Male,1927
934158,187,86,Male,
928824,163,56,Female,1981
940076,170,60,Female,1998
926343,189,80,Male,1987
939302,160,51,Female,1914
924854,173,87,Male,1966
922933,160,98,Female,1965
937554,172,68,Female,1978
921678,178,65,Male,1946
937449,182,92,Male,1974
929121,164,73,Male,1941
941878,183,84,Male,1985
946331,172,68,Male,1945
930154,182,81,Male,1988
921539,170,78,Female,1982
938380,176,,Female,1998
935811,174,69,Female,1974
928735,165,76,Female,1943
944826,173,,Female,1971
947060,190,96,Male,1984
937627,180,85,Male,1969
946446,182,95,Male,1965
949216,180,69,Male,1994
940377,181,78,Male,1984
930976,163,56,Female,1995
944672,190,85,Male,1976
943480,174,94,Male,1930
939904,165,58,Female,1928
937261,180,75,Female,1981
930594,176,114,Female,1965
936011,162,69,Female,1942
937253,173,90,Female,1950
945830,174,79,Female,1941
940830,170,66,Female,1947
931304,163,54,Female,1970
